Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Argentina,2020-10-08,Lautaro Martínez,75,Ecuador,FW,0,0,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Lucas Alario,15,Ecuador,FW,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Lucas Ocampos,83,Ecuador,AM,0,0,,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Nicolás Domínguez,7,Ecuador,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Lionel Messi,90,Ecuador,AM,1,0,,1,1,3,1,2,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Marcos Acuña,65,Ecuador,DM,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Eduardo Salvio,25,Ecuador,"FW,MF",0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Leandro Paredes,90,Ecuador,DM,0,0,,0,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Rodrigo De Paul,90,Ecuador,DM,0,0,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Nicolás Tagliafico,90,Ecuador,LB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Nicolás Otamendi,90,Ecuador,CB,0,0,,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Lucas Martínez Quarta,90,Ecuador,CB,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Gonzalo Montiel,83,Ecuador,RB,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Juan Foyth,7,Ecuador,DF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Franco Armani,90,Ecuador,GK,0,0,,0,0,0,0,0,0,0,0,0,0,,0,NA,0
